;---;ÁÊ;Â2;Â3;Ã4;Ê1;Ë1;Ï2;Ï1;ØÊ;ÂÊ;ÄÊ;Õ2;À1;Ì1;Ì2;Ì3;Ì4;Ì5;Ì6;Ì7;Ì8;Ç2;Ç1;Õ1;Ê2;Â1;Â4;Ã6;Ã2
22.03.2016;23;0;14;0;28;4;7;8;0;16;3;8;4;0;0;14;0;5;0;9;0;23;8;0;0;0;0;0;0;26
22.03.2016;24;0;9;0;12;9;7;7;0;6;2;3;5;0;0;16;0;6;0;6;0;8;14;0;0;0;0;0;0;10
23.03.2016;1;0;0;10;7;4;5;5;0;10;2;3;4;0;0;10;0;3;0;2;0;3;17;0;0;0;0;0;0;4
23.03.2016;2;0;0;18;7;12;4;13;0;21;1;7;9;0;0;22;0;12;0;13;0;10;15;0;0;0;0;0;0;6
23.03.2016;3;0;0;22;28;24;11;21;0;19;2;4;14;0;0;18;0;13;0;10;0;14;7;0;0;0;0;0;1;16
23.03.2016;4;0;0;22;32;28;17;21;0;29;9;10;15;0;10;35;1;21;2;21;4;25;24;0;1;0;0;1;0;25
23.03.2016;5;0;5;22;47;13;17;19;4;40;9;29;13;0;26;35;12;11;31;26;32;21;13;0;1;0;0;11;0;32
23.03.2016;6;0;9;16;24;10;28;9;11;40;33;33;14;0;44;35;19;32;27;26;37;25;13;0;1;0;0;7;2;24
23.03.2016;7;0;11;20;26;12;25;20;9;41;21;34;11;1;47;33;11;23;30;28;9;23;21;0;0;0;0;0;1;23
23.03.2016;8;1;15;29;21;14;27;25;9;43;29;33;8;2;51;38;0;29;34;20;0;44;32;0;1;0;0;0;0;25
23.03.2016;9;0;16;44;36;20;27;28;11;35;31;26;10;2;46;29;0;38;29;16;0;36;39;0;0;0;0;0;1;29
23.03.2016;10;0;27;50;18;21;28;19;16;35;23;31;16;2;45;30;0;25;30;21;0;32;38;0;0;0;0;0;1;23
23.03.2016;11;0;27;40;13;24;23;27;16;29;12;26;18;2;31;22;0;23;42;24;0;24;32;0;0;0;0;0;0;15
23.03.2016;12;0;23;43;11;22;18;24;17;27;23;37;15;1;35;20;0;39;37;29;0;23;31;0;0;0;0;0;0;17
23.03.2016;13;0;15;32;29;21;26;16;23;35;20;29;17;7;48;30;0;35;31;23;0;32;29;0;1;0;0;0;4;24
23.03.2016;14;0;19;33;29;21;26;15;21;40;22;35;14;3;51;38;0;32;35;29;0;32;26;17;0;0;0;0;2;19
23.03.2016;15;0;20;47;27;35;33;28;24;47;17;35;19;2;61;44;0;37;43;29;0;28;28;29;0;0;0;0;1;23
23.03.2016;16;0;22;50;35;16;27;21;22;45;24;31;18;4;52;43;0;36;28;25;28;33;29;17;0;0;0;0;0;32
23.03.2016;17;0;12;32;36;10;23;15;22;53;16;34;15;4;46;41;0;30;27;25;39;30;34;0;0;0;0;0;0;33
23.03.2016;18;0;8;25;37;12;20;11;17;53;25;32;9;2;41;41;0;29;28;24;47;42;33;0;1;0;0;0;2;35
23.03.2016;19;0;13;34;35;9;19;12;20;41;26;33;13;1;45;30;0;32;24;21;42;34;40;0;1;0;0;0;0;34
23.03.2016;20;0;6;30;49;14;22;25;15;44;21;34;16;2;40;29;0;34;37;26;49;33;28;0;0;0;0;0;1;46
23.03.2016;21;0;0;28;25;13;20;27;0;26;15;29;11;1;3;27;0;30;6;33;8;24;20;0;0;0;0;0;0;21
23.03.2016;22;0;0;11;28;12;18;17;0;14;14;16;4;0;0;16;0;15;0;15;0;29;16;0;0;0;0;0;0;26
23.03.2016;23;0;0;11;31;8;16;11;0;16;4;10;5;0;0;19;0;8;0;9;0;18;11;0;0;0;0;0;0;22
23.03.2016;24;0;0;9;12;7;7;9;0;6;5;5;7;0;0;11;0;7;0;8;0;4;11;0;0;0;0;0;0;8
24.03.2016;1;0;0;10;0;4;5;7;11;0;14;2;5;3;0;0;17;0;3;0;3;0;4;17;0;0;0;0;0;5
24.03.2016;2;0;0;9;0;12;12;7;16;0;20;1;3;6;0;0;26;0;12;0;11;0;9;19;0;0;0;0;0;9
24.03.2016;3;0;0;7;0;28;13;11;18;0;22;3;3;3;0;0;26;0;17;0;13;0;17;10;0;0;0;0;1;22
24.03.2016;4;0;5;21;10;30;20;14;16;4;26;6;9;13;0;7;29;0;14;2;15;5;26;20;0;0;0;6;0;26
24.03.2016;5;0;14;23;14;31;13;19;12;14;37;13;25;14;3;32;32;17;15;26;18;31;22;16;0;0;0;14;0;24
24.03.2016;6;0;13;21;6;32;11;28;16;12;44;31;36;12;2;38;34;20;25;33;27;35;29;14;0;0;1;12;1;29
24.03.2016;7;0;13;20;0;31;15;34;28;18;40;21;51;7;4;44;34;16;22;48;43;28;31;26;0;0;0;0;0;28
24.03.2016;8;0;16;37;0;31;11;31;28;10;34;31;43;6;0;51;42;0;29;35;32;30;24;29;0;1;0;0;0;29
24.03.2016;9;0;22;48;0;36;17;27;29;7;43;29;26;11;2;52;41;0;34;31;26;1;24;35;0;0;0;0;1;25
24.03.2016;10;0;19;42;0;29;26;21;24;14;35;20;28;18;1;41;33;0;35;27;27;0;28;34;0;0;0;0;0;22
24.03.2016;11;0;21;37;0;26;24;17;21;13;33;16;25;13;2;35;29;0;25;28;20;0;27;29;0;0;0;0;0;22
24.03.2016;12;0;23;46;0;19;34;14;21;13;29;20;34;15;2;40;30;0;46;37;31;0;24;31;0;0;1;0;1;18
24.03.2016;13;0;25;44;0;35;20;24;17;13;42;24;25;20;4;58;35;0;34;29;22;0;35;32;7;1;1;0;4;34
24.03.2016;14;1;20;50;0;31;12;20;19;20;40;29;27;24;3;47;32;0;40;34;23;0;36;26;21;0;0;0;4;24
24.03.2016;15;0;15;48;0;27;37;31;31;37;43;27;38;20;6;49;40;0;50;59;40;0;37;25;19;1;0;0;1;23
24.03.2016;16;0;24;50;0;36;22;29;28;26;43;30;29;17;6;48;41;0;45;40;25;30;35;26;16;0;0;0;0;31
24.03.2016;17;0;12;30;0;34;19;21;16;16;40;16;40;18;1;44;32;0;35;30;31;36;25;34;3;0;0;0;0;34
24.03.2016;18;0;5;25;0;34;7;26;7;18;47;25;24;9;2;37;39;0;29;19;20;31;24;32;0;1;0;0;2;31
24.03.2016;19;0;14;27;0;38;9;26;19;20;43;29;36;16;2;52;43;0;37;27;31;41;31;38;0;1;0;0;0;38
24.03.2016;20;0;0;22;0;43;8;29;26;0;44;21;31;10;0;36;32;0;30;24;27;39;34;26;0;0;0;0;1;40
24.03.2016;21;0;0;24;0;24;8;27;23;0;25;15;26;6;0;1;35;0;23;0;26;0;27;22;0;0;0;0;0;19
24.03.2016;22;0;0;17;0;29;6;17;22;0;20;12;18;3;0;0;18;0;12;0;17;0;24;17;0;0;0;0;0;19
24.03.2016;23;0;0;15;0;23;8;18;13;0;14;8;9;5;0;0;13;0;5;0;11;0;22;14;0;0;0;0;0;17
24.03.2016;24;0;0;7;0;13;9;12;8;0;5;6;3;5;0;0;15;0;11;0;8;0;7;10;0;0;0;0;0;9
25.03.2016;1;0;0;8;0;8;4;6;9;0;9;5;3;4;0;0;14;0;7;0;6;0;3;13;0;0;0;0;0;4
25.03.2016;2;0;0;13;0;16;12;11;17;0;21;2;6;9;0;0;25;0;11;0;13;0;9;17;0;0;0;0;0;6
25.03.2016;3;0;0;17;0;25;24;13;18;0;20;3;7;18;0;0;16;0;16;0;11;0;11;20;0;1;0;0;1;18
25.03.2016;4;0;0;21;0;31;22;15;20;0;29;6;7;11;0;0;29;0;16;0;18;0;25;18;0;0;0;2;0;26
25.03.2016;5;0;5;25;0;46;12;16;18;6;41;12;30;14;0;22;37;0;22;30;34;26;25;18;0;1;0;13;0;25
25.03.2016;6;0;9;19;0;30;6;27;11;12;41;29;37;10;1;39;33;0;36;34;29;32;33;20;0;1;0;10;1;32
25.03.2016;7;1;11;19;0;22;12;26;26;10;41;22;42;5;0;44;31;0;25;39;31;0;27;23;0;0;0;0;0;19
25.03.2016;8;1;19;38;0;43;10;30;29;11;39;29;44;6;1;47;30;0;23;34;26;0;51;33;0;1;0;0;1;41
25.03.2016;9;1;20;47;0;37;24;28;28;13;35;43;23;18;3;50;33;0;45;35;24;0;38;39;0;2;0;0;1;32
25.03.2016;10;0;25;51;0;28;33;28;23;13;32;24;33;25;1;46;39;0;34;29;32;0;26;38;0;0;0;0;0;22
25.03.2016;11;0;24;44;0;22;31;25;20;17;32;25;30;19;0;34;23;0;28;33;31;0;33;33;0;0;0;0;0;22
25.03.2016;12;0;25;41;0;25;30;24;20;18;33;17;39;21;1;42;27;0;34;32;28;0;38;32;0;0;0;0;1;27
25.03.2016;13;0;17;37;0;35;23;33;14;20;44;18;34;20;1;45;34;0;35;26;27;0;31;35;0;1;0;0;2;30
25.03.2016;14;0;19;33;0;38;25;45;17;25;38;29;33;15;1;64;38;0;44;38;27;0;38;46;24;0;0;0;2;24
25.03.2016;15;0;23;47;0;29;33;40;27;25;43;28;40;15;0;55;42;0;52;52;36;0;35;35;21;0;0;0;1;24
25.03.2016;16;1;23;44;0;33;29;33;28;22;47;28;37;22;0;47;41;0;51;37;31;0;37;22;16;0;0;0;0;25
25.03.2016;17;0;18;38;0;35;16;32;15;19;48;18;35;17;0;47;39;0;33;28;24;0;35;28;0;0;0;0;0;27
25.03.2016;18;0;11;31;0;37;13;22;7;21;50;26;33;12;0;43;37;0;35;22;19;1;44;29;0;1;0;0;1;42
25.03.2016;19;0;14;31;0;36;9;21;13;23;45;25;31;14;0;52;40;0;28;30;25;38;39;32;0;1;0;0;1;39
25.03.2016;20;0;3;30;0;49;12;22;25;8;46;22;35;14;0;34;27;0;28;27;24;45;41;21;0;0;0;0;1;48
25.03.2016;21;0;0;25;0;35;10;18;30;0;26;18;37;9;1;4;32;0;32;2;33;1;31;24;0;0;0;0;0;28
25.03.2016;22;0;0;14;0;27;5;14;16;0;21;15;12;1;1;0;23;0;13;0;14;0;26;12;0;0;0;0;0;25
25.03.2016;23;0;0;14;0;24;12;9;12;0;13;5;10;3;0;0;14;0;7;0;12;0;20;11;0;0;0;0;0;21
25.03.2016;24;0;0;9;0;12;13;8;11;0;4;2;8;6;0;0;14;0;9;0;9;0;5;12;0;0;0;0;0;6
26.03.2016;1;0;0;13;0;5;5;3;7;0;15;3;4;9;0;0;19;0;4;0;3;0;3;19;0;0;0;0;0;3
26.03.2016;2;0;0;16;0;18;17;11;22;0;23;2;9;14;0;0;23;0;19;0;19;0;7;18;0;0;0;0;0;8
26.03.2016;3;0;0;21;0;32;24;16;27;0;17;4;11;14;0;0;18;0;20;0;19;0;10;21;0;0;0;0;1;23
26.03.2016;4;0;0;26;4;33;39;9;18;0;27;5;16;26;0;0;27;0;15;0;23;0;27;24;0;1;0;8;0;25
26.03.2016;5;0;0;25;17;32;21;17;14;12;35;14;30;16;0;21;34;12;20;32;31;23;30;16;0;0;0;15;0;33
26.03.2016;6;0;0;21;5;28;7;21;17;10;36;27;34;13;0;28;26;15;29;35;35;38;34;14;0;0;0;12;1;25
26.03.2016;7;0;0;25;0;28;10;24;27;12;44;17;38;7;0;1;52;0;27;2;45;2;27;26;0;0;0;0;0;20
26.03.2016;8;0;14;34;0;30;16;21;29;9;41;24;37;7;0;0;52;0;39;0;46;0;38;27;0;1;0;0;0;26
26.03.2016;9;0;15;42;0;31;18;32;34;6;32;28;25;11;0;0;56;0;33;0;41;0;30;30;0;2;0;0;1;21
26.03.2016;10;0;26;61;0;23;28;23;28;15;32;13;30;21;3;35;39;0;31;0;38;0;32;39;0;1;0;0;2;21
26.03.2016;11;0;17;40;0;22;28;16;19;19;35;14;31;15;4;31;27;0;26;0;43;0;26;27;0;0;0;0;0;22
26.03.2016;12;0;23;38;0;22;25;21;18;14;28;20;33;15;0;40;25;0;36;27;34;0;24;28;0;0;0;0;0;19
26.03.2016;13;0;14;34;0;29;24;23;15;16;40;14;33;11;1;43;34;0;29;27;26;0;36;35;0;0;0;0;1;23
26.03.2016;14;0;17;41;0;31;22;25;14;19;35;22;29;20;5;46;36;0;40;35;24;0;28;37;19;1;0;0;0;16
26.03.2016;15;0;22;45;0;26;38;30;23;25;37;20;32;25;1;54;39;2;40;39;28;0;30;38;18;0;0;0;1;20
26.03.2016;16;0;30;57;0;38;34;24;22;32;43;36;29;26;0;62;43;39;31;45;25;0;45;36;0;0;0;0;0;33
26.03.2016;17;0;15;36;0;28;22;29;16;14;50;17;33;18;1;49;43;11;21;25;27;0;24;28;0;0;0;0;0;18
26.03.2016;18;0;7;30;0;22;16;23;10;18;47;20;27;9;1;45;43;0;27;20;18;0;25;34;0;1;0;0;1;18
26.03.2016;19;0;14;30;0;35;13;24;10;24;38;27;36;19;1;44;33;0;29;25;27;36;39;36;0;1;0;0;0;32
26.03.2016;20;0;0;26;0;39;11;16;27;7;43;17;29;17;1;12;32;0;22;18;24;25;37;20;0;0;0;0;1;34
26.03.2016;21;0;0;24;0;24;12;21;29;0;23;14;23;10;0;0;33;0;22;0;27;0;28;16;0;0;0;0;1;22
26.03.2016;22;0;0;19;0;24;8;11;23;0;19;11;13;1;1;0;15;0;14;0;17;0;20;8;0;0;0;0;0;20
26.03.2016;23;0;0;11;0;25;10;14;9;0;15;3;8;3;0;0;12;0;7;0;7;0;14;10;0;0;0;0;0;16
26.03.2016;24;0;0;7;0;12;8;10;9;0;5;2;8;2;0;0;12;0;7;0;7;0;5;8;0;0;0;0;0;5
27.03.2016;1;0;0;6;13;0;7;8;0;12;1;5;3;0;0;16;0;3;0;2;0;6;17;0;0;0;0;0;0;11
27.03.2016;2;0;0;10;11;21;7;26;0;19;2;3;13;0;0;24;0;21;0;18;0;11;18;0;0;0;0;0;1;9
27.03.2016;3;0;0;12;26;25;8;27;0;20;3;6;14;0;0;17;0;20;0;20;0;14;10;0;0;0;0;0;1;20
27.03.2016;4;0;0;20;39;30;10;27;3;28;6;16;15;0;0;25;0;22;0;26;0;31;17;0;0;0;0;3;0;33
27.03.2016;5;0;15;25;43;15;16;15;12;45;15;24;15;0;22;35;0;25;30;30;22;29;10;0;1;0;0;14;0;33
27.03.2016;6;0;19;23;19;10;22;26;6;31;19;29;17;0;33;24;0;27;35;23;17;24;20;0;1;0;0;7;0;19
27.03.2016;7;0;21;28;24;9;20;19;8;30;9;30;4;0;43;27;0;23;26;28;0;29;22;0;0;0;0;0;0;25
27.03.2016;8;1;22;36;23;15;18;23;8;41;28;36;9;2;44;42;0;40;31;19;0;33;31;0;0;0;0;0;0;25
27.03.2016;9;0;24;43;27;17;19;16;14;22;22;21;19;3;33;24;0;35;19;19;0;22;28;0;2;0;0;0;0;23
27.03.2016;10;0;27;48;14;31;22;18;17;32;21;33;23;0;38;31;0;38;0;39;0;17;32;0;0;0;0;0;1;15
27.03.2016;11;0;27;47;25;19;23;25;13;38;19;35;18;1;52;35;0;38;22;39;0;25;34;0;0;0;0;0;1;21
27.03.2016;12;1;29;49;19;22;18;21;12;34;12;29;21;1;44;31;11;27;29;25;0;21;40;0;0;0;0;0;0;15
27.03.2016;13;0;19;33;33;18;24;23;18;43;20;26;14;2;52;37;32;22;35;26;0;27;40;4;0;0;4;0;0;25
27.03.2016;14;0;17;35;37;19;33;21;19;41;18;27;14;1;54;38;23;19;40;28;0;28;41;24;0;4;5;0;0;24
27.03.2016;15;0;26;41;25;17;28;29;26;40;19;26;22;0;48;40;38;19;43;23;0;29;22;20;1;11;12;0;1;21
27.03.2016;16;0;19;35;22;19;21;18;18;49;31;26;16;0;62;49;39;32;28;25;0;31;33;11;0;6;5;0;0;18
27.03.2016;17;0;7;31;34;15;24;12;19;44;22;36;14;0;39;39;15;18;31;29;19;37;34;0;0;0;0;0;0;28
27.03.2016;18;0;14;33;36;12;28;11;15;37;18;42;12;0;50;37;18;16;28;31;31;23;35;0;1;0;0;0;2;30
27.03.2016;19;0;18;34;36;10;28;13;25;40;28;36;19;0;39;31;22;15;35;22;42;35;27;0;1;0;0;0;0;33
27.03.2016;20;0;7;30;44;6;20;25;10;46;18;39;18;0;18;37;11;25;15;28;23;41;18;0;0;0;0;0;1;40
27.03.2016;21;0;0;13;33;9;23;21;0;21;18;32;6;0;0;33;0;24;0;28;0;26;15;0;0;0;0;0;1;27
27.03.2016;22;0;0;15;37;14;11;22;0;22;17;25;5;0;0;16;0;17;0;21;0;30;9;0;0;0;0;0;0;30
27.03.2016;23;0;0;17;28;12;8;15;0;23;7;8;6;0;0;21;0;14;0;11;0;27;10;0;0;0;0;0;1;21
27.03.2016;24;0;0;10;18;4;9;8;0;9;10;2;5;0;0;15;0;10;0;2;0;13;9;0;0;0;0;0;1;15
28.03.2016;1;0;0;11;0;8;7;6;12;0;11;4;2;5;0;0;21;0;10;0;9;0;8;27;0;0;0;0;0;6
28.03.2016;2;0;0;18;0;21;15;11;18;0;29;2;1;19;0;0;28;0;11;0;7;0;15;16;0;0;0;0;1;14
28.03.2016;3;0;0;18;0;34;23;6;15;0;24;5;5;13;0;0;24;0;12;0;14;0;17;20;0;0;0;0;1;25
28.03.2016;4;0;0;27;7;43;23;13;26;0;31;9;21;12;0;5;28;1;24;3;28;4;33;21;0;0;0;3;0;43
28.03.2016;5;0;6;28;16;28;19;19;22;6;37;21;32;13;0;29;32;19;23;34;29;28;22;19;0;1;0;13;0;31
28.03.2016;6;0;10;24;2;22;8;29;19;11;40;24;32;11;0;46;34;20;26;33;28;33;25;20;0;1;0;10;1;22
28.03.2016;7;0;16;28;0;28;11;29;30;12;38;14;39;1;1;48;30;17;23;34;29;0;29;25;0;0;0;0;0;20
28.03.2016;8;0;15;41;0;33;10;25;26;9;48;24;38;8;4;51;52;24;33;31;26;0;37;26;0;1;0;0;0;29
28.03.2016;9;1;22;33;0;40;16;30;23;11;26;21;26;17;0;47;31;18;26;26;29;0;29;31;0;0;13;0;0;32
28.03.2016;10;2;27;31;0;17;27;24;17;15;29;21;35;29;0;41;31;23;19;33;32;0;24;32;0;0;25;0;1;16
28.03.2016;11;0;32;34;0;20;19;26;24;15;26;16;29;26;0;27;20;29;19;37;35;0;24;28;0;0;19;0;0;14
28.03.2016;12;0;18;29;0;18;29;32;22;15;36;25;31;19;1;50;28;29;33;27;26;0;23;42;0;0;12;0;0;14
28.03.2016;13;1;15;35;0;31;17;29;23;21;45;19;30;14;1;49;37;20;20;30;24;0;29;41;7;0;0;0;1;21
28.03.2016;14;1;17;35;0;31;27;37;23;20;40;22;26;17;1;55;39;29;28;39;26;0;28;35;26;1;0;0;0;19
28.03.2016;15;0;23;50;0;22;32;29;33;32;47;21;32;18;3;47;42;28;23;51;24;15;28;27;22;0;0;0;1;23
28.03.2016;16;0;14;40;0;26;19;20;19;16;36;26;29;12;1;43;35;17;28;22;25;26;14;27;0;0;0;0;1;23
28.03.2016;17;0;6;28;0;30;8;14;12;17;42;20;40;4;0;37;33;17;17;26;27;41;32;27;0;0;0;0;0;35
28.03.2016;18;0;15;33;0;33;12;19;8;17;31;20;31;15;1;40;28;15;22;17;18;30;20;32;0;1;0;0;2;28
28.03.2016;19;0;15;37;0;28;8;22;11;23;40;26;32;22;1;39;29;25;30;29;19;49;34;23;0;1;0;0;0;34
28.03.2016;20;0;7;25;0;46;10;19;22;9;40;19;33;15;0;40;32;27;22;27;16;52;33;18;0;0;0;0;1;46
28.03.2016;21;0;0;9;0;21;8;21;21;0;24;13;24;4;0;4;30;7;20;5;22;7;21;16;0;0;0;0;0;19
28.03.2016;22;0;0;13;0;25;7;16;20;0;19;16;20;3;0;0;20;0;23;0;16;0;30;13;0;0;0;0;0;24
28.03.2016;23;0;0;14;0;24;7;15;10;0;22;6;10;8;0;0;22;0;12;0;9;0;20;11;0;0;0;0;0;19
28.03.2016;24;0;0;8;0;13;5;10;10;0;8;2;5;2;0;0;7;0;6;0;8;0;7;7;0;0;0;0;0;8
29.03.2016;1;0;0;9;0;6;10;5;12;0;10;3;5;5;0;0;16;0;9;0;8;0;6;18;0;0;0;0;0;4
29.03.2016;2;0;0;12;0;18;14;9;15;0;20;3;2;14;0;0;22;0;11;0;8;0;12;12;0;0;0;0;1;15
29.03.2016;3;0;0;20;0;30;22;10;12;0;17;4;9;12;0;0;14;0;11;0;9;0;13;18;0;0;0;0;1;22
29.03.2016;4;0;0;29;0;40;25;21;21;0;36;9;20;12;0;0;37;0;26;0;28;0;26;19;0;0;0;0;0;35
29.03.2016;5;0;5;34;0;44;15;22;23;3;42;18;25;15;1;33;28;18;26;32;25;32;22;21;0;1;0;11;0;34
29.03.2016;6;0;14;24;0;25;11;30;24;14;40;27;33;15;1;48;38;30;32;41;26;34;21;20;0;1;0;7;1;19
29.03.2016;7;1;16;23;0;30;10;27;26;14;39;13;31;4;0;47;38;3;28;35;28;4;26;19;0;0;0;0;0;20
29.03.2016;8;1;15;38;0;23;12;23;29;9;40;28;37;9;4;42;38;0;42;36;24;0;36;30;0;1;0;0;0;26
29.03.2016;9;0;23;53;0;27;18;23;27;10;20;25;21;19;3;41;22;0;34;25;13;0;24;29;0;0;0;0;1;24
29.03.2016;10;1;23;43;0;20;24;18;19;16;36;19;27;23;4;33;32;0;26;25;22;0;24;32;0;0;19;0;1;19
29.03.2016;11;0;26;35;0;23;23;26;21;21;31;17;27;20;1;33;25;0;33;38;23;0;25;24;0;0;20;0;0;16
29.03.2016;12;1;19;31;0;23;24;26;20;14;34;16;39;23;2;48;32;0;38;28;32;0;28;35;0;0;9;0;1;19
